colorData=True							
sizeData=t							
shapeData=t							
luminanceData=false							
pointAspectRatio=1.5							
t	x	y	color	size	shape		
0	5	5	"(0, 0, 0)"	size0	square	d	l
0.03	5	5	"(0, 0, 0)"	size0	square	d	l
0.07	5	5	"(0, 0, 0)"	size0	square	d	l
0.1	5	5	"(0, 0, 0)"	size0	square	d	l
0.13	5	5	"(0, 0, 0)"	size0	square	d	l
0.17	5	5	"(0, 0, 0)"	size0	square	d	l
0.2	5	5	"(0, 0, 0)"	size0	square	d	l
0.23	5	5	"(0, 0, 0)"	size0	square	d	l
0.26	5	5	"(0, 0, 0)"	size0	square	d	l
0.3	5	5	"(0, 0, 0)"	size0	square	d	l
0.33	5	5	"(0, 0, 0)"	size0	square	d	l
0.36	5	5	"(0, 0, 0)"	size0	square	d	l
0.4	5	5	"(0, 0, 0)"	size0	square	d	l
0.43	5	5	"(0, 0, 0)"	size0	square	d	l
0.46	5	5	"(0, 0, 0)"	size0	square	d	l
0.5	5	5	"(0, 0, 0)"	size0	square	d	l
0.53	5	5	"(0, 0, 0)"	size0	square	d	l
0.56	5	5	"(0, 0, 0)"	size0	square	d	l
0.59	5	5	"(0, 0, 0)"	size0	square	d	l
0.63	5	5	"(0, 0, 0)"	size0	square	d	l
0.66	5	5	"(0, 0, 0)"	size0	square	d	l
0.69	5	5	"(0, 0, 0)"	size0	square	d	l
0.73	5	5	"(0, 0, 0)"	size0	square	d	l
0.76	5	5	"(0, 0, 0)"	size0	square	d	l
0.79	5	5	"(0, 0, 0)"	size0	square	d	l
0.83	5	5	"(0, 0, 0)"	size0	square	d	l
0.86	5	5	"(0, 0, 0)"	size0	square	d	l
0.89	5	5	"(0, 0, 0)"	size0	square	d	l
0.92	5	5	"(0, 0, 0)"	size0	square	d	l
0.96	5	5	"(0, 0, 0)"	size0	square	d	l
0.99	5	5	"(0, 0, 0)"	size0	square	d	l
1.02	5	5	"(0, 0, 0)"	size0	square	d	l
1.06	5	5	"(0, 0, 0)"	size0	square	d	l
1.09	5	5	"(0, 0, 0)"	size0	square	d	l
1.12	5	5	"(0, 0, 0)"	size0	square	d	l
1.16	5	4	"(255, 255, 255)"	size15	square	d	l
1.19	5	5	"(255, 255, 255)"	size15	square	d	l
1.22	5	5	"(255, 255, 255)"	size15	square	d	l
1.25	5	5	"(255, 255, 255)"	size15	square	d	l
1.29	5	5	"(255, 255, 255)"	size15	square	d	l
1.32	5	5	"(255, 255, 255)"	size15	square	d	l
1.35	5	5	"(255, 255, 255)"	size15	square	d	l
1.39	5	5	"(255, 255, 255)"	size15	square	d	l
1.42	5	5	"(255, 255, 255)"	size15	square	d	l
1.45	5	5	"(255, 255, 255)"	size15	square	d	l
1.49	5	5	"(255, 255, 255)"	size15	square	d	l
1.52	5	5	"(255, 255, 255)"	size15	square	d	l
1.55	5	5	"(255, 255, 255)"	size15	square	d	l
1.58	5	5	"(255, 255, 255)"	size15	square	d	l
1.62	5	5	"(255, 255, 255)"	size15	square	d	l
1.65	5	5	"(255, 255, 255)"	size15	square	d	l
1.68	5	5	"(255, 255, 255)"	size15	square	d	l
1.72	5	5	"(255, 255, 255)"	size15	square	d	l
1.75	5	5	"(255, 255, 255)"	size15	square	d	l
1.78	5	5	"(255, 255, 255)"	size15	square	d	l
1.82	5	5	"(255, 255, 255)"	size15	square	d	l
1.85	5	5	"(255, 255, 255)"	size15	square	d	l
1.88	5	5	"(255, 255, 255)"	size15	square	d	l
1.91	5	5	"(255, 255, 255)"	size15	square	d	l
1.95	5	5	"(255, 255, 255)"	size15	square	d	l
1.98	5	5	"(255, 255, 255)"	size15	square	d	l
2.01	5	5	"(255, 255, 255)"	size15	square	d	l
2.05	5	5	"(255, 255, 255)"	size15	square	d	l
2.08	5	5	"(255, 255, 255)"	size15	square	d	l
2.11	5	5	"(255, 255, 255)"	size15	square	d	l
2.15	5	5	"(255, 255, 255)"	size15	square	d	l
2.18	5	5	"(255, 255, 255)"	size15	square	d	l
2.21	5	5	"(255, 255, 255)"	size15	square	d	l
2.24	5	5	"(255, 255, 255)"	size15	square	d	l
2.28	5	5	"(255, 255, 255)"	size15	square	d	l
2.31	5	5	"(255, 255, 255)"	size15	square	d	l
2.34	5	5	"(255, 255, 255)"	size15	square	d	l
2.38	5	5	"(255, 255, 255)"	size15	square	d	l
2.41	5	5	"(255, 255, 255)"	size15	square	d	l
2.44	5	5	"(255, 255, 255)"	size15	square	d	l
2.48	5	5	"(255, 255, 255)"	size15	square	d	l
2.51	5	5	"(255, 255, 255)"	size15	square	d	l
2.54	5	5	"(255, 255, 255)"	size15	square	d	l
2.57	5	5	"(255, 255, 255)"	size15	square	d	l
2.61	5	5	"(255, 255, 255)"	size15	square	d	l
2.64	5	5	"(255, 255, 255)"	size15	square	d	l
2.67	5	5	"(255, 255, 255)"	size15	square	d	l
2.71	5	5	"(255, 255, 255)"	size15	square	d	l
2.74	5	5	"(255, 255, 255)"	size15	square	d	l
2.77	5	5	"(255, 255, 255)"	size15	square	d	l
2.81	5	5	"(255, 255, 255)"	size15	square	d	l
2.84	5	5	"(255, 255, 255)"	size15	square	d	l
2.87	5	5	"(255, 255, 255)"	size15	square	d	l
2.9	5	5	"(255, 255, 255)"	size15	square	d	l
2.94	5	5	"(255, 255, 255)"	size15	square	d	l
2.97	5	5	"(255, 255, 255)"	size15	square	d	l
3	5	5	"(255, 255, 255)"	size15	square	d	l
3.04	5	5	"(255, 255, 255)"	size15	square	d	l
3.07	5	5	"(255, 255, 255)"	size15	square	d	l
3.1	5	5	"(255, 255, 255)"	size15	square	d	l
3.14	5	5	"(255, 255, 255)"	size15	square	d	l
3.17	5	5	"(255, 255, 255)"	size15	square	d	l
3.2	5	5	"(255, 255, 255)"	size15	square	d	l
3.23	5	5	"(255, 255, 255)"	size15	square	d	l
3.27	5	5	"(255, 255, 255)"	size15	square	d	l
3.3	5	5	"(255, 255, 255)"	size15	square	d	l
3.33	5	5	"(255, 255, 255)"	size15	square	d	l
3.37	5	5	"(255, 255, 255)"	size15	square	d	l
3.4	5	5	"(255, 255, 255)"	size15	square	d	l
3.43	5	5	"(255, 255, 255)"	size15	square	d	l
3.47	5	5	"(255, 255, 255)"	size15	square	d	l
3.5	5	5	"(255, 255, 255)"	size15	square	d	l
3.53	5	5	"(255, 255, 255)"	size15	square	d	l
3.54	5	5	"(255, 255, 255)"	size15	square	d	l
