colorData=True																											
sizeData=t																											
shapeData=t																											
luminanceData=false																											
pointAspectRatio=1.5																											
	(offscreen dot to trigger sound)					Fixation cross					Dot to judge					Ignore1					Ignore2						
t	x	y	color	size	shape	x	y	color	size	shape	x	y	color	size	shape	x	y	color	size	shape	x	y	color	size	shape		
0	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
0.03	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
0.07	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
0.1	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
0.13	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
0.17	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
0.2	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
0.23	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
0.26	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
0.3	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
0.33	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
0.36	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
0.4	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
0.43	10	5	"(0, 0, 0)"	-	dot	5	5	"(200 ,1, 1)"	cross	size 3.5	5	5	"(0, 0, 0)"	size1.5	dot	-	-	-	-	-	3.68	6.71	-	"(255,0,0)"	size1.5	d	l
