Mallet Head			Hand		Elbow		Shoulder		Pitch	Vis
t	x	y	x	y	x	y	x	y		
0	4.792	2.083	3	2.062	2.181	4.312	2.419	6.65	a	s
0.033	4.792	2.083	3	2.062	2.181	4.312	2.419	6.65	a	s
0.066	4.764	1.938	2.986	2.042	2.181	4.312	2.433	6.629	a	s
0.099	4.764	1.938	2.986	2.042	2.181	4.312	2.433	6.629	a	s
0.132	4.722	1.875	2.972	2	2.194	4.312	2.433	6.629	a	s
0.165	4.708	1.792	2.972	2	2.194	4.312	2.433	6.629	a	s
0.198	4.708	1.792	2.958	2	2.194	4.312	2.447	6.629	a	s
0.231	4.681	1.792	2.944	2	2.194	4.312	2.447	6.629	a	s
0.264	4.681	1.792	2.944	2	2.194	4.312	2.447	6.629	a	s
0.297	4.667	1.792	2.931	1.979	2.208	4.312	2.447	6.629	a	s
0.33	4.653	1.792	2.931	1.979	2.208	4.312	2.447	6.629	a	s
0.363	4.639	1.771	2.931	1.979	2.208	4.292	2.447	6.629	a	s
0.396	4.625	1.771	2.931	1.979	2.208	4.292	2.447	6.629	a	s
0.429	4.625	1.771	2.917	1.979	2.208	4.292	2.447	6.608	a	s
0.462	4.625	1.771	2.917	1.979	2.208	4.271	2.447	6.608	a	s
0.495	4.625	1.792	2.903	1.979	2.208	4.271	2.447	6.608	a	s
0.528	4.611	1.792	2.903	1.979	2.208	4.271	2.447	6.608	a	s
0.561	4.597	1.771	2.903	1.979	2.208	4.25	2.447	6.608	a	s
0.594	4.583	1.771	2.903	1.958	2.208	4.25	2.447	6.608	a	s
0.627	4.597	1.729	2.903	1.938	2.208	4.25	2.461	6.608	a	s
0.66	4.611	1.688	2.903	1.938	2.208	4.25	2.461	6.608	a	s
0.693	4.639	1.646	2.903	1.917	2.222	4.229	2.461	6.608	a	s
0.726	4.625	1.812	2.903	1.938	2.222	4.229	2.475	6.588	a	s
0.759	4.625	2.125	2.903	2.021	2.208	4.229	2.475	6.588	a	s
0.792	4.611	2.5	2.889	2.125	2.208	4.25	2.475	6.588	a	s
0.825	4.597	2.792	2.917	2.229	2.208	4.292	2.475	6.608	a	s
0.858	4.583	3.021	2.931	2.333	2.194	4.292	2.475	6.608	a	s
0.891	4.569	3.146	2.917	2.396	2.194	4.312	2.461	6.629	a	s
0.924	4.569	3.229	2.917	2.438	2.194	4.312	2.461	6.629	a	s
0.957	4.569	3.312	2.917	2.479	2.181	4.333	2.447	6.608	a	s
0.99	4.569	3.438	2.889	2.521	2.181	4.333	2.447	6.608	a	s
1.023	4.583	3.542	2.889	2.562	2.167	4.354	2.447	6.608	a	s
1.056	4.597	3.583	2.847	2.583	2.153	4.354	2.433	6.608	a	s
1.089	4.611	3.542	2.875	2.521	2.139	4.354	2.419	6.608	a	s
1.122	4.625	3.375	2.917	2.438	2.125	4.354	2.419	6.608	a	s
1.155	4.667	3.104	2.958	2.375	2.125	4.354	2.419	6.608	a	s
1.188	4.722	2.417	2.986	2.104	2.125	4.312	2.419	6.608	a	s
1.221	4.722	1.104	2.847	1.812	2.125	4.271	2.419	6.608	a	s
1.254	4.708	1.25	2.861	1.792	2.139	4.229	2.419	6.608	a	s
1.287	4.569	2.083	2.819	2.083	2.167	4.188	2.392	6.588	a	s
1.32	4.417	2.979	2.861	2.229	2.194	4.167	2.392	6.546	a	s
1.353	4.319	3.208	2.903	2.25	2.25	4.125	2.392	6.504	a	s
1.386	4.333	3.083	2.944	2.229	2.264	4.104	2.378	6.462	a	s
1.419	4.389	2.938	2.944	2.188	2.264	4.083	2.378	6.462	a	s
1.452	4.403	2.917	2.944	2.146	2.25	4.083	2.364	6.462	a	s
1.485	4.431	2.938	2.931	2.146	2.222	4.104	2.35	6.483	a	s
1.518	4.458	2.938	2.931	2.146	2.208	4.125	2.336	6.504	a	s
1.551	4.472	2.958	2.917	2.167	2.181	4.146	2.336	6.504	a	s
1.584	4.472	2.979	2.889	2.188	2.167	4.167	2.322	6.504	a	s
1.617	4.472	2.979	2.889	2.188	2.167	4.167	2.322	6.504	a	s
1.65	4.472	2.979	2.875	2.188	2.153	4.167	2.322	6.504	a	s
1.683	4.472	2.958	2.875	2.188	2.153	4.167	2.322	6.504	a	s
1.716	4.458	2.958	2.861	2.188	2.153	4.167	2.322	6.504	a	s
1.749	4.458	2.958	2.833	2.188	2.139	4.167	2.308	6.504	a	s
1.782	4.431	2.979	2.833	2.188	2.139	4.167	2.308	6.504	a	s
1.815	4.431	2.979	2.819	2.188	2.139	4.167	2.308	6.504	a	s
1.848	4.431	2.979	2.819	2.188	2.125	4.146	2.294	6.483	a	s
1.881	4.431	3	2.806	2.208	2.125	4.125	2.294	6.483	a	s
1.914	4.458	2.979	2.806	2.208	2.111	4.125	2.294	6.483	a	s
1.947	4.472	2.958	2.806	2.208	2.111	4.125	2.294	6.483	a	s
1.98	4.486	2.958	2.806	2.208	2.111	4.125	2.294	6.483	a	s
2.013	4.486	2.979	2.806	2.229	2.097	4.125	2.294	6.483	a	s
2.046	4.486	3.021	2.806	2.229	2.097	4.125	2.294	6.483	a	s
2.079	4.5	3.042	2.792	2.25	2.097	4.125	2.294	6.483	a	s
2.112	4.5	3.042	2.792	2.25	2.097	4.125	2.294	6.483	a	s
2.145	4.5	3.042	2.792	2.25	2.083	4.146	2.294	6.483	a	s
2.178	4.5	3.062	2.792	2.271	2.083	4.146	2.294	6.483	a	s
2.211	4.5	3.104	2.792	2.271	2.083	4.146	2.294	6.483	a	s
2.244	4.514	3.125	2.792	2.292	2.069	4.167	2.294	6.483	a	s
2.277	4.514	3.167	2.792	2.292	2.069	4.167	2.294	6.483	a	s
2.31	4.514	3.208	2.778	2.312	2.069	4.167	2.294	6.483	a	s
2.343	4.5	3.271	2.778	2.354	2.069	4.167	2.294	6.504	a	s
2.376	4.472	3.354	2.778	2.396	2.069	4.188	2.294	6.504	a	s
2.409	4.458	3.438	2.778	2.417	2.069	4.188	2.294	6.504	a	s
2.442	4.458	3.5	2.778	2.458	2.069	4.188	2.294	6.504	a	s
2.475	4.458	3.583	2.778	2.479	2.069	4.188	2.294	6.504	a	s
2.508	4.472	3.646	2.778	2.521	2.069	4.188	2.294	6.504	a	s
2.541	4.486	3.708	2.778	2.562	2.083	4.208	2.294	6.504	a	s
2.574	4.486	3.771	2.778	2.583	2.083	4.208	2.294	6.504	a	s
2.607	4.5	3.812	2.792	2.604	2.083	4.208	2.294	6.504	a	s
2.64	4.5	3.854	2.792	2.646	2.097	4.229	2.294	6.504	a	s
2.673	4.514	3.917	2.806	2.708	2.097	4.229	2.308	6.525	a	s
2.706	4.528	3.979	2.819	2.729	2.097	4.25	2.308	6.525	a	s
2.739	4.542	4.021	2.833	2.75	2.097	4.25	2.308	6.525	a	s
2.772	4.556	4	2.847	2.75	2.097	4.25	2.308	6.525	a	s
2.802	4.569	3.979	2.847	2.75	2.097	4.25	2.308	6.525	a	s
