Mallet Head			Hand		Elbow		Shoulder		Pitch	Vis
t	x	y	x	y	x	y	x	y		
0	4.278	1.875	3.083	2.479	2.806	4.771	3.058	6.692	g	l
0.033	4.264	1.875	3.111	2.479	2.819	4.771	3.072	6.692	g	l
0.066	4.264	1.875	3.111	2.479	2.819	4.771	3.072	6.692	g	l
0.099	4.264	1.875	3.111	2.479	2.819	4.771	3.072	6.692	g	l
0.132	4.25	1.875	3.125	2.479	2.833	4.771	3.086	6.692	g	l
0.165	4.25	1.854	3.139	2.458	2.847	4.771	3.1	6.692	g	l
0.198	4.25	1.854	3.153	2.458	2.861	4.771	3.114	6.692	g	l
0.231	4.25	1.833	3.153	2.438	2.861	4.771	3.128	6.692	g	l
0.264	4.236	1.833	3.153	2.438	2.875	4.771	3.128	6.692	g	l
0.297	4.236	1.792	3.167	2.417	2.889	4.771	3.142	6.692	g	l
0.33	4.222	1.771	3.167	2.417	2.889	4.771	3.142	6.692	g	l
0.363	4.208	1.75	3.167	2.417	2.889	4.771	3.156	6.692	g	l
0.396	4.194	1.708	3.153	2.396	2.889	4.771	3.156	6.692	g	l
0.429	4.194	1.646	3.139	2.375	2.875	4.771	3.156	6.692	g	l
0.462	4.194	1.646	3.139	2.375	2.861	4.75	3.156	6.671	g	l
0.495	4.194	1.688	3.125	2.396	2.847	4.75	3.156	6.671	g	l
0.528	4.194	1.875	3.125	2.458	2.833	4.75	3.142	6.671	g	l
0.561	4.208	2.125	3.111	2.562	2.819	4.75	3.128	6.671	g	l
0.594	4.208	2.583	3.111	2.729	2.792	4.75	3.114	6.671	g	l
0.627	4.194	2.979	3.111	2.917	2.778	4.75	3.1	6.671	g	l
0.66	4.194	3.438	3.083	3.062	2.75	4.75	3.086	6.671	g	l
0.693	4.194	3.833	3.069	3.229	2.708	4.771	3.072	6.671	g	l
0.726	4.167	4.333	3.083	3.396	2.694	4.792	3.031	6.65	g	l
0.759	4.139	4.688	3.083	3.521	2.667	4.792	3.003	6.65	g	l
0.792	4.125	5	3.083	3.625	2.639	4.792	2.975	6.608	g	l
0.825	4.111	5.208	3.069	3.708	2.597	4.792	2.933	6.608	g	l
0.858	4.111	5.25	3.069	3.708	2.569	4.792	2.919	6.608	g	l
0.891	4.111	5.208	3.069	3.625	2.528	4.771	2.906	6.608	g	l
0.924	4.111	5.021	3.042	3.458	2.486	4.729	2.878	6.629	g	l
0.957	4.111	4.667	3.014	3.25	2.458	4.729	2.85	6.629	g	l
0.99	4.125	4.104	2.972	2.896	2.403	4.688	2.836	6.629	g	l
1.023	4.153	3.333	2.903	2.646	2.375	4.646	2.822	6.629	g	l
1.056	4.153	2.146	2.75	2.229	2.333	4.583	2.808	6.629	g	l
1.089	4.139	1.417	2.694	2.125	2.333	4.542	2.781	6.608	g	l
1.122	4.167	1.646	2.708	2.146	2.319	4.521	2.767	6.588	g	l
1.155	4.167	1.958	2.722	2.292	2.306	4.5	2.739	6.546	g	l
1.188	4.167	2.312	2.75	2.417	2.306	4.5	2.725	6.546	g	l
1.221	4.153	2.729	2.764	2.604	2.292	4.479	2.697	6.546	g	l
1.254	4.153	3.229	2.792	2.833	2.278	4.479	2.683	6.525	g	l
1.287	4.139	3.812	2.792	2.979	2.264	4.479	2.669	6.525	g	l
1.32	4.097	4.229	2.792	3.229	2.264	4.479	2.656	6.504	g	l
1.353	4.028	4.75	2.792	3.479	2.25	4.458	2.642	6.504	g	l
1.386	3.931	5.229	2.806	3.688	2.236	4.458	2.614	6.483	g	l
1.419	3.833	5.583	2.764	3.896	2.236	4.458	2.614	6.483	g	l
1.452	3.722	5.938	2.736	4.042	2.222	4.438	2.6	6.483	g	l
1.485	3.611	6.208	2.694	4.188	2.208	4.417	2.586	6.462	g	l
1.518	3.514	6.417	2.653	4.292	2.208	4.417	2.572	6.462	g	l
1.551	3.389	6.625	2.597	4.396	2.194	4.396	2.558	6.462	g	l
1.584	3.264	6.792	2.514	4.375	2.194	4.396	2.558	6.462	g	l
1.617	3.097	6.917	2.472	4.375	2.194	4.375	2.558	6.462	g	l
1.65	2.958	6.979	2.403	4.375	2.194	4.375	2.544	6.462	g	l
1.683	2.806	7.062	2.333	4.375	2.194	4.375	2.531	6.462	g	l
1.716	2.667	7.083	2.278	4.375	2.194	4.375	2.531	6.462	g	l
1.749	2.486	7.125	2.236	4.396	2.194	4.375	2.531	6.442	g	l
1.782	2.375	7.104	2.181	4.396	2.194	4.375	2.517	6.442	g	l
1.815	2.208	7.062	2.139	4.375	2.194	4.354	2.517	6.442	g	l
1.848	2.069	7	2.097	4.333	2.194	4.333	2.517	6.442	g	l
1.881	1.944	6.875	2.042	4.292	2.194	4.312	2.503	6.421	g	l
1.914	1.806	6.812	2	4.229	2.194	4.312	2.503	6.421	g	l
1.947	1.708	6.729	1.958	4.188	2.194	4.312	2.503	6.421	g	l
1.98	1.583	6.562	1.917	4.125	2.194	4.312	2.489	6.4	g	l
2.013	1.472	6.438	1.875	4.042	2.194	4.271	2.489	6.4	g	l
2.046	1.403	6.271	1.847	3.958	2.194	4.271	2.489	6.4	g	l
2.079	1.361	6.083	1.819	3.875	2.194	4.25	2.489	6.379	g	l
2.112	1.306	5.854	1.792	3.771	2.194	4.229	2.489	6.379	g	l
2.145	1.264	5.688	1.75	3.688	2.194	4.208	2.489	6.379	g	l
2.178	1.208	5.479	1.736	3.604	2.194	4.208	2.475	6.358	g	l
