Mallet Head			Hand		Elbow		Shoulder		Pitch	Vis
t	x	y	x	y	x	y	x	y		
0	4.097	2	3.542	2.271	3.667	4.438	3.864	6.608	g	s
0.033	4.097	1.979	3.542	2.25	3.653	4.438	3.85	6.608	g	s
0.066	4.111	1.958	3.542	2.25	3.653	4.438	3.85	6.588	g	s
0.099	4.111	1.958	3.542	2.25	3.653	4.438	3.85	6.588	g	s
0.132	4.125	1.938	3.528	2.229	3.625	4.438	3.836	6.588	g	s
0.165	4.139	1.917	3.528	2.229	3.611	4.438	3.822	6.588	g	s
0.198	4.153	1.917	3.528	2.229	3.611	4.438	3.808	6.588	g	s
0.231	4.167	1.938	3.514	2.229	3.583	4.438	3.794	6.588	g	s
0.264	4.167	1.958	3.5	2.25	3.583	4.438	3.794	6.588	g	s
0.297	4.167	1.938	3.5	2.25	3.569	4.438	3.781	6.588	g	s
0.33	4.153	1.896	3.5	2.229	3.569	4.417	3.781	6.588	g	s
0.363	4.153	1.833	3.5	2.229	3.569	4.417	3.781	6.588	g	s
0.396	4.153	2.062	3.5	2.25	3.569	4.417	3.781	6.588	g	s
0.429	4.125	2.583	3.528	2.396	3.583	4.438	3.781	6.588	g	s
0.462	4.097	3.021	3.569	2.521	3.597	4.458	3.794	6.588	g	s
0.495	4.083	3.125	3.556	2.625	3.611	4.479	3.794	6.588	g	s
0.528	4.097	3.146	3.556	2.688	3.611	4.479	3.808	6.588	g	s
0.561	4.097	3.229	3.556	2.729	3.611	4.479	3.822	6.588	g	s
0.594	4.083	3.333	3.556	2.75	3.611	4.479	3.836	6.588	g	s
0.627	4.097	3.417	3.556	2.792	3.625	4.5	3.836	6.588	g	s
0.66	4.139	3.5	3.583	2.792	3.639	4.521	3.85	6.588	g	s
0.693	4.208	3.479	3.597	2.75	3.639	4.521	3.85	6.588	g	s
0.726	4.236	3.312	3.611	2.625	3.639	4.5	3.864	6.588	g	s
0.759	4.25	2.875	3.639	2.375	3.639	4.479	3.878	6.567	g	s
0.792	4.208	1.771	3.597	2.167	3.667	4.417	3.892	6.525	g	s
0.825	4.153	1.417	3.597	2.229	3.722	4.354	3.919	6.483	g	s
0.858	4.069	2.5	3.667	2.5	3.806	4.312	3.947	6.421	g	s
0.891	3.639	3.812	3.667	2.604	3.917	4.271	3.975	6.379	g	s
0.924	3.611	3.875	3.708	2.729	4.028	4.229	4.003	6.358	g	s
0.957	3.528	3.521	3.736	2.667	4.083	4.208	4.031	6.338	g	s
0.99	3.472	3.271	3.75	2.562	4.097	4.208	4.058	6.338	g	s
1.023	3.444	3.25	3.764	2.5	4.111	4.188	4.086	6.338	g	s
1.056	3.472	3.333	3.764	2.542	4.125	4.188	4.1	6.338	g	s
1.089	3.528	3.458	3.764	2.583	4.153	4.208	4.114	6.338	g	s
1.122	3.528	3.479	3.764	2.625	4.153	4.208	4.128	6.338	g	s
1.155	3.542	3.479	3.764	2.646	4.153	4.208	4.156	6.338	g	s
1.188	3.556	3.479	3.764	2.646	4.167	4.208	4.169	6.338	g	s
1.221	3.569	3.5	3.764	2.667	4.167	4.208	4.183	6.338	g	s
1.254	3.583	3.542	3.764	2.688	4.181	4.208	4.197	6.338	g	s
1.287	3.583	3.583	3.778	2.729	4.181	4.208	4.211	6.338	g	s
1.32	3.597	3.625	3.778	2.729	4.194	4.208	4.225	6.338	g	s
1.353	3.597	3.625	3.778	2.729	4.194	4.208	4.225	6.338	g	s
1.386	3.611	3.625	3.778	2.75	4.208	4.229	4.253	6.338	g	s
1.419	3.625	3.625	3.792	2.75	4.208	4.229	4.253	6.338	g	s
1.452	3.625	3.625	3.792	2.75	4.208	4.229	4.267	6.338	g	s
1.485	3.625	3.625	3.792	2.75	4.208	4.25	4.267	6.358	g	s
1.518	3.625	3.625	3.792	2.75	4.208	4.25	4.267	6.358	g	s
1.551	3.639	3.625	3.792	2.75	4.208	4.25	4.267	6.358	g	s
1.584	3.639	3.625	3.792	2.771	4.208	4.25	4.267	6.358	g	s
1.617	3.639	3.646	3.792	2.771	4.208	4.25	4.267	6.358	g	s
1.65	3.653	3.667	3.792	2.792	4.208	4.25	4.281	6.4	g	s
1.683	3.667	3.667	3.792	2.812	4.208	4.271	4.281	6.4	g	s
1.716	3.681	3.688	3.792	2.854	4.208	4.271	4.281	6.4	g	s
1.749	3.667	3.771	3.778	2.854	4.208	4.271	4.281	6.4	g	s
1.782	3.667	3.771	3.778	2.875	4.194	4.292	4.281	6.4	g	s
1.815	3.667	3.792	3.778	2.896	4.194	4.292	4.281	6.421	g	s
1.848	3.681	3.812	3.778	2.896	4.181	4.292	4.281	6.421	g	s
1.881	3.694	3.833	3.778	2.896	4.181	4.292	4.281	6.442	g	s
1.914	3.708	3.875	3.778	2.896	4.181	4.312	4.281	6.442	g	s
1.947	3.722	3.896	3.778	2.938	4.181	4.312	4.281	6.462	g	s
1.98	3.75	3.917	3.778	2.938	4.167	4.312	4.281	6.462	g	s
2.013	3.764	3.958	3.778	2.979	4.167	4.312	4.281	6.462	g	s
2.046	3.764	4	3.778	2.979	4.153	4.312	4.281	6.462	g	s
2.079	3.778	4.042	3.778	3	4.153	4.312	4.281	6.462	g	s
2.112	3.778	4.083	3.764	3.021	4.153	4.333	4.281	6.483	g	s
2.145	3.778	4.146	3.764	3.042	4.153	4.354	4.281	6.483	g	s
2.168	3.778	4.146	3.764	3.042	4.153	4.354	4.281	6.483	g	s
