Mallet Head			Hand		Elbow		Shoulder		Pitch	Vis
t	x	y	x	y	x	y	x	y		
0	3.486	2.458	3.667	2.604	4.194	4.583	4.447	6.608	a	l
0.033	3.486	2.438	3.667	2.604	4.194	4.583	4.447	6.608	a	l
0.066	3.5	2.417	3.667	2.604	4.194	4.583	4.447	6.608	a	l
0.099	3.5	2.417	3.667	2.604	4.194	4.583	4.447	6.608	a	l
0.132	3.514	2.396	3.667	2.583	4.194	4.583	4.447	6.608	a	l
0.165	3.528	2.396	3.681	2.562	4.194	4.583	4.447	6.608	a	l
0.198	3.542	2.375	3.681	2.562	4.194	4.583	4.447	6.608	a	l
0.231	3.569	2.354	3.708	2.542	4.194	4.583	4.447	6.629	a	l
0.264	3.639	2.271	3.736	2.5	4.194	4.562	4.433	6.629	a	l
0.297	3.639	2.25	3.75	2.479	4.194	4.562	4.433	6.629	a	l
0.33	3.722	2.167	3.764	2.438	4.194	4.562	4.433	6.629	a	l
0.363	3.806	2.021	3.764	2.396	4.194	4.542	4.433	6.629	a	l
0.396	3.903	1.875	3.764	2.354	4.194	4.521	4.433	6.629	a	l
0.429	4.056	1.75	3.778	2.312	4.194	4.521	4.433	6.629	a	l
0.462	4.181	1.646	3.806	2.292	4.194	4.521	4.433	6.629	a	l
0.495	4.306	1.646	3.833	2.292	4.194	4.521	4.433	6.629	a	l
0.528	4.431	1.708	3.847	2.333	4.181	4.521	4.433	6.629	a	l
0.561	4.528	1.854	3.861	2.375	4.167	4.542	4.433	6.629	a	l
0.594	4.611	2.125	3.875	2.458	4.167	4.562	4.419	6.629	a	l
0.627	4.639	2.375	3.889	2.562	4.153	4.583	4.419	6.629	a	l
0.66	4.667	2.708	3.903	2.688	4.139	4.604	4.419	6.629	a	l
0.693	4.681	3.083	3.917	2.833	4.139	4.625	4.406	6.629	a	l
0.726	4.667	3.458	3.917	2.958	4.139	4.646	4.406	6.629	a	l
0.759	4.653	3.854	3.917	3.062	4.139	4.667	4.406	6.629	a	l
0.792	4.653	4.062	3.917	3.146	4.125	4.688	4.392	6.629	a	l
0.825	4.639	4.438	3.931	3.25	4.125	4.688	4.392	6.629	a	l
0.858	4.611	4.729	3.903	3.354	4.125	4.708	4.392	6.629	a	l
0.891	4.583	4.958	3.889	3.458	4.125	4.708	4.392	6.629	a	l
0.924	4.569	5.146	3.847	3.521	4.111	4.729	4.392	6.629	a	l
0.957	4.542	5.333	3.833	3.583	4.111	4.729	4.378	6.629	a	l
0.99	4.514	5.458	3.833	3.625	4.111	4.729	4.378	6.629	a	l
1.023	4.514	5.562	3.833	3.667	4.111	4.729	4.378	6.629	a	l
1.056	4.514	5.604	3.833	3.688	4.111	4.75	4.378	6.629	a	l
1.089	4.542	5.646	3.833	3.708	4.111	4.75	4.378	6.629	a	l
1.122	4.556	5.646	3.847	3.708	4.111	4.771	4.378	6.629	a	l
1.155	4.583	5.583	3.861	3.688	4.111	4.771	4.378	6.629	a	l
1.188	4.597	5.479	3.875	3.646	4.097	4.75	4.364	6.65	a	l
1.221	4.611	5.333	3.903	3.604	4.097	4.729	4.364	6.65	a	l
1.254	4.625	5.083	3.931	3.521	4.097	4.729	4.364	6.65	a	l
1.287	4.625	4.75	3.958	3.438	4.083	4.708	4.364	6.65	a	l
1.32	4.625	4.396	4	3.333	4.069	4.688	4.364	6.65	a	l
