Mallet Head			Hand		Elbow		Shoulder		Pitch	Vis
t	x	y	x	y	x	y	x	y		
0	4.806	1.854	3.639	2.396	3.417	4.688	3.683	6.712	d	l
0.033	4.806	1.854	3.639	2.396	3.417	4.688	3.683	6.712	d	l
0.066	4.833	1.833	3.639	2.396	3.417	4.688	3.683	6.712	d	l
0.099	4.833	1.833	3.639	2.396	3.417	4.688	3.683	6.712	d	l
0.132	4.861	1.833	3.653	2.396	3.417	4.688	3.683	6.712	d	l
0.165	4.875	1.833	3.681	2.396	3.403	4.667	3.683	6.712	d	l
0.198	4.889	1.833	3.681	2.396	3.403	4.667	3.683	6.712	d	l
0.231	4.903	1.833	3.681	2.396	3.403	4.667	3.683	6.712	d	l
0.264	4.903	1.833	3.694	2.396	3.403	4.667	3.683	6.712	d	l
0.297	4.903	1.833	3.694	2.396	3.403	4.646	3.683	6.712	d	l
0.33	4.903	1.833	3.694	2.396	3.403	4.646	3.683	6.712	d	l
0.363	4.903	1.833	3.694	2.396	3.403	4.646	3.683	6.712	d	l
0.396	4.889	1.833	3.694	2.396	3.403	4.646	3.683	6.712	d	l
0.429	4.889	1.812	3.694	2.396	3.403	4.646	3.683	6.712	d	l
0.462	4.889	1.812	3.681	2.396	3.389	4.646	3.683	6.712	d	l
0.495	4.889	1.812	3.681	2.396	3.389	4.646	3.669	6.712	d	l
0.528	4.889	1.812	3.681	2.396	3.389	4.646	3.669	6.712	d	l
0.561	4.903	1.812	3.681	2.396	3.389	4.646	3.669	6.712	d	l
0.594	4.903	1.812	3.681	2.396	3.389	4.646	3.669	6.712	d	l
0.627	4.903	1.812	3.681	2.396	3.375	4.646	3.669	6.712	d	l
0.66	4.917	1.854	3.681	2.417	3.375	4.646	3.669	6.712	d	l
0.693	4.917	1.958	3.681	2.458	3.361	4.646	3.656	6.712	d	l
0.726	4.944	2.167	3.681	2.5	3.361	4.646	3.656	6.712	d	l
0.759	4.958	2.417	3.681	2.604	3.347	4.646	3.642	6.712	d	l
0.792	4.958	2.708	3.681	2.729	3.333	4.667	3.642	6.712	d	l
0.825	4.958	3.042	3.681	2.875	3.333	4.667	3.642	6.712	d	l
0.858	4.958	3.396	3.681	2.979	3.333	4.667	3.642	6.712	d	l
0.891	4.944	3.729	3.681	3.104	3.333	4.688	3.628	6.712	d	l
0.924	4.903	4.021	3.667	3.167	3.333	4.708	3.628	6.712	d	l
0.957	4.861	4.312	3.667	3.25	3.333	4.708	3.628	6.712	d	l
0.99	4.819	4.542	3.667	3.333	3.333	4.708	3.628	6.712	d	l
1.023	4.778	4.729	3.653	3.438	3.319	4.708	3.614	6.712	d	l
1.056	4.736	4.854	3.653	3.458	3.319	4.708	3.614	6.712	d	l
1.089	4.708	4.938	3.625	3.5	3.306	4.708	3.614	6.712	d	l
1.122	4.694	4.938	3.625	3.458	3.306	4.708	3.614	6.712	d	l
1.155	4.681	4.875	3.625	3.396	3.306	4.708	3.614	6.712	d	l
1.188	4.694	4.688	3.611	3.312	3.292	4.688	3.614	6.712	d	l
1.221	4.736	4.438	3.597	3.167	3.292	4.688	3.614	6.712	d	l
1.254	4.764	4.083	3.583	2.979	3.278	4.688	3.614	6.712	d	l
1.287	4.806	3.521	3.556	2.708	3.278	4.688	3.614	6.712	d	l
1.32	4.875	2.792	3.542	2.438	3.264	4.667	3.628	6.712	d	l
1.353	4.861	1.812	3.472	2.271	3.264	4.646	3.628	6.712	d	l
1.386	4.861	1.458	3.431	2.229	3.264	4.625	3.642	6.692	d	l
1.419	4.875	1.771	3.458	2.292	3.278	4.604	3.642	6.692	d	l
1.452	4.861	2.083	3.472	2.375	3.292	4.604	3.642	6.692	d	l
1.485	4.833	2.354	3.486	2.458	3.319	4.604	3.642	6.671	d	l
1.518	4.792	2.646	3.514	2.562	3.333	4.604	3.642	6.671	d	l
1.551	4.764	2.938	3.542	2.667	3.361	4.604	3.642	6.65	d	l
1.584	4.694	3.271	3.569	2.771	3.375	4.604	3.642	6.65	d	l
1.617	4.625	3.583	3.569	2.875	3.389	4.583	3.656	6.629	d	l
1.65	4.514	3.833	3.569	2.958	3.403	4.583	3.656	6.629	d	l
1.683	4.431	4.083	3.556	3.021	3.417	4.583	3.656	6.629	d	l
1.716	4.319	4.312	3.542	3.083	3.431	4.583	3.656	6.629	d	l
1.749	4.222	4.5	3.528	3.167	3.431	4.583	3.656	6.629	d	l
1.782	4.125	4.625	3.514	3.208	3.444	4.562	3.656	6.629	d	l
1.815	4.042	4.729	3.514	3.271	3.444	4.562	3.656	6.629	d	l
1.848	3.944	4.833	3.486	3.333	3.444	4.562	3.656	6.629	d	l
1.881	3.847	4.938	3.458	3.375	3.444	4.562	3.656	6.629	d	l
1.914	3.764	5	3.431	3.396	3.444	4.562	3.656	6.629	d	l
1.947	3.694	5.021	3.389	3.375	3.444	4.562	3.656	6.629	d	l
1.98	3.653	5.042	3.375	3.375	3.444	4.562	3.656	6.629	d	l
2.013	3.569	5.021	3.347	3.375	3.444	4.562	3.656	6.629	d	l
2.046	3.514	4.979	3.319	3.375	3.444	4.562	3.656	6.629	d	l
2.079	3.472	4.938	3.306	3.333	3.444	4.562	3.656	6.629	d	l
2.112	3.417	4.875	3.292	3.333	3.444	4.562	3.656	6.65	d	l
2.145	3.389	4.771	3.278	3.292	3.431	4.562	3.656	6.671	d	l
2.178	3.361	4.688	3.278	3.25	3.431	4.562	3.669	6.692	d	l
2.211	3.333	4.583	3.278	3.229	3.431	4.562	3.669	6.692	d	l
2.244	3.319	4.479	3.278	3.188	3.431	4.562	3.669	6.692	d	l
2.277	3.306	4.396	3.278	3.146	3.431	4.562	3.669	6.692	d	l
2.31	3.292	4.271	3.278	3.125	3.431	4.562	3.669	6.692	d	l
2.343	3.292	4.188	3.278	3.083	3.431	4.562	3.669	6.692	d	l
2.376	3.292	4.083	3.278	3.042	3.431	4.562	3.669	6.692	d	l
2.409	3.292	4	3.278	3	3.431	4.562	3.669	6.692	d	l
2.442	3.306	3.917	3.278	2.979	3.417	4.583	3.669	6.692	d	l
2.475	3.319	3.854	3.278	2.958	3.417	4.583	3.669	6.692	d	l
2.508	3.319	3.771	3.278	2.917	3.417	4.583	3.669	6.692	d	l
2.541	3.333	3.708	3.278	2.896	3.403	4.604	3.656	6.692	d	l
2.574	3.347	3.625	3.278	2.875	3.403	4.604	3.656	6.692	d	l
2.607	3.375	3.562	3.278	2.854	3.403	4.604	3.656	6.692	d	l
2.64	3.403	3.479	3.292	2.833	3.403	4.604	3.656	6.692	d	l
2.673	3.417	3.417	3.306	2.833	3.403	4.604	3.656	6.692	d	l
2.706	3.444	3.333	3.306	2.812	3.403	4.604	3.656	6.692	d	l
2.739	3.472	3.271	3.319	2.771	3.403	4.604	3.656	6.692	d	l
2.772	3.528	3.188	3.333	2.75	3.403	4.604	3.656	6.692	d	l
2.805	3.556	3.125	3.333	2.75	3.403	4.604	3.656	6.692	d	l
2.838	3.583	3.083	3.347	2.729	3.403	4.625	3.656	6.692	d	l
2.871	3.611	3.042	3.347	2.729	3.403	4.625	3.656	6.692	d	l
2.904	3.639	3	3.361	2.708	3.403	4.646	3.656	6.692	d	l
2.937	3.681	2.958	3.375	2.708	3.403	4.646	3.656	6.692	d	l
2.97	3.722	2.917	3.389	2.708	3.403	4.646	3.656	6.692	d	l
3.003	3.75	2.875	3.403	2.688	3.417	4.667	3.656	6.692	d	l
3.036	3.764	2.875	3.417	2.688	3.417	4.667	3.656	6.712	d	l
3.069	3.764	2.875	3.417	2.688	3.417	4.667	3.656	6.712	d	l
3.102	3.778	2.854	3.431	2.688	3.431	4.667	3.656	6.712	d	l
3.135	3.792	2.854	3.431	2.688	3.431	4.667	3.656	6.712	d	l
3.168	3.806	2.833	3.444	2.688	3.431	4.667	3.656	6.712	d	l
3.201	3.819	2.833	3.444	2.688	3.431	4.667	3.656	6.712	d	l
3.234	3.833	2.812	3.444	2.688	3.431	4.667	3.656	6.712	d	l
3.267	3.847	2.812	3.444	2.688	3.417	4.688	3.656	6.712	d	l
3.3	3.847	2.812	3.444	2.688	3.417	4.688	3.656	6.712	d	l
3.333	3.847	2.812	3.444	2.688	3.417	4.688	3.656	6.712	d	l
3.366	3.847	2.812	3.444	2.667	3.417	4.688	3.656	6.712	d	l
3.399	3.847	2.812	3.444	2.667	3.417	4.688	3.656	6.712	d	l
3.432	3.847	2.812	3.444	2.667	3.417	4.688	3.656	6.712	d	l
3.465	3.847	2.812	3.444	2.667	3.417	4.688	3.656	6.712	d	l
3.498	3.847	2.812	3.444	2.667	3.417	4.688	3.656	6.712	d	l
3.531	3.861	2.771	3.444	2.667	3.417	4.688	3.656	6.712	d	l
3.537	3.861	2.771	3.444	2.667	3.417	4.688	3.656	6.712	d	l
