colorData=True																						
sizeData=t																						
luminanceData=false																						
	Mallet Head				Hand				Elbow				Elbow				Shoulder				Pitch	Vis
t	x	y			x	y			x	y			x	y			x	y				
0	4.81	1.85	-	-	3.64	2.4	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.03	4.81	1.85	-	-	3.64	2.4	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.07	4.83	1.83	-	-	3.64	2.4	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.1	4.83	1.83	-	-	3.64	2.4	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.13	4.86	1.83	-	-	3.65	2.4	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.17	4.88	1.83	-	-	3.68	2.4	size.25	"(0,0,255)"	3.4	4.67	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.2	4.89	1.83	-	-	3.68	2.4	size.25	"(0,0,255)"	3.4	4.67	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.23	4.9	1.83	-	-	3.68	2.4	size.25	"(0,0,255)"	3.4	4.67	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.26	4.9	1.83	-	-	3.69	2.4	size.25	"(0,0,255)"	3.4	4.67	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.3	4.9	1.83	-	-	3.69	2.4	size.25	"(0,0,255)"	3.4	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.33	4.9	1.83	-	-	3.69	2.4	size.25	"(0,0,255)"	3.4	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.36	4.9	1.83	-	-	3.69	2.4	size.25	"(0,0,255)"	3.4	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.4	4.89	1.83	-	-	3.69	2.4	size.25	"(0,0,255)"	3.4	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.43	4.89	1.81	-	-	3.69	2.4	size.25	"(0,0,255)"	3.4	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.46	4.89	1.81	-	-	3.68	2.4	size.25	"(0,0,255)"	3.39	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.68	6.71	"(255,0,0)"	size1.5	d	l
0.5	4.89	1.81	-	-	3.68	2.4	size.25	"(0,0,255)"	3.39	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.67	6.71	"(255,0,0)"	size1.5	d	l
0.53	4.89	1.81	-	-	3.68	2.4	size.25	"(0,0,255)"	3.39	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.67	6.71	"(255,0,0)"	size1.5	d	l
0.56	4.9	1.81	-	-	3.68	2.4	size.25	"(0,0,255)"	3.39	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.67	6.71	"(255,0,0)"	size1.5	d	l
0.59	4.9	1.81	-	-	3.68	2.4	size.25	"(0,0,255)"	3.39	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.67	6.71	"(255,0,0)"	size1.5	d	l
0.63	4.9	1.81	-	-	3.68	2.4	size.25	"(0,0,255)"	3.38	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.67	6.71	"(255,0,0)"	size1.5	d	l
0.66	4.92	1.85	-	-	3.68	2.42	size.25	"(0,0,255)"	3.38	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.67	6.71	"(255,0,0)"	size1.5	d	l
0.69	4.92	1.96	-	-	3.68	2.46	size.25	"(0,0,255)"	3.36	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.66	6.71	"(255,0,0)"	size1.5	d	l
0.73	4.94	2.17	-	-	3.68	2.5	size.25	"(0,0,255)"	3.36	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.66	6.71	"(255,0,0)"	size1.5	d	l
0.76	4.96	2.42	-	-	3.68	2.6	size.25	"(0,0,255)"	3.35	4.65	"(0, 255, 0)"	size 3.5	-	-	-	-	3.64	6.71	"(255,0,0)"	size1.5	d	l
0.79	4.96	2.71	-	-	3.68	2.73	size.25	"(0,0,255)"	3.33	4.67	"(0, 255, 0)"	size 3.5	-	-	-	-	3.64	6.71	"(255,0,0)"	size1.5	d	l
0.83	4.96	3.04	-	-	3.68	2.88	size.25	"(0,0,255)"	3.33	4.67	"(0, 255, 0)"	size 3.5	-	-	-	-	3.64	6.71	"(255,0,0)"	size1.5	d	l
0.86	4.96	3.4	-	-	3.68	2.98	size.25	"(0,0,255)"	3.33	4.67	"(0, 255, 0)"	size 3.5	-	-	-	-	3.64	6.71	"(255,0,0)"	size1.5	d	l
0.89	4.94	3.73	-	-	3.68	3.1	size.25	"(0,0,255)"	3.33	4.69	"(0, 255, 0)"	size 3.5	-	-	-	-	3.63	6.71	"(255,0,0)"	size1.5	d	l
0.92	4.9	4.02	-	-	3.67	3.17	size.25	"(0,0,255)"	3.33	4.71	"(0, 255, 0)"	size 3.5	-	-	-	-	3.63	6.71	"(255,0,0)"	size1.5	d	l
0.96	4.86	4.31	-	-	3.67	3.25	size.25	"(0,0,255)"	3.33	4.71	"(0, 255, 0)"	size 3.5	-	-	-	-	3.63	6.71	"(255,0,0)"	size1.5	d	l
0.99	4.82	4.54	-	-	3.67	3.33	size.25	"(0,0,255)"	3.33	4.71	"(0, 255, 0)"	size 3.5	-	-	-	-	3.63	6.71	"(255,0,0)"	size1.5	d	l
1.02	4.78	4.73	-	-	3.65	3.44	size.25	"(0,0,255)"	3.32	4.71	"(0, 255, 0)"	size 3.5	-	-	-	-	3.61	6.71	"(255,0,0)"	size1.5	d	l
1.06	4.74	4.85	-	-	3.65	3.46	size.25	"(0,0,255)"	3.32	4.71	"(0, 255, 0)"	size 3.5	-	-	-	-	3.61	6.71	"(255,0,0)"	size1.5	d	l
1.09	4.71	4.94	-	-	3.63	3.5	size.25	"(0,0,255)"	3.31	4.71	"(0, 255, 0)"	size 3.5	-	-	-	-	3.61	6.71	"(255,0,0)"	size1.5	d	l
1.12	4.69	4.94	-	-	3.63	3.46	size.25	"(0,0,255)"	3.31	4.71	"(0, 255, 0)"	size 3.5	-	-	-	-	3.61	6.71	"(255,0,0)"	size1.5	d	l
1.16	4.68	4.88	-	-	3.63	3.4	size.25	"(0,0,255)"	3.31	4.71	"(0, 255, 0)"	size 3.5	-	-	-	-	3.61	6.71	"(255,0,0)"	size1.5	d	l
