Mallet Head			Hand		Elbow		Shoulder		Pitch	Vis
t	x	y	x	y	x	y	x	y		
0	4.778	2.25	3.181	2.25	2.458	4.292	2.669	6.442	d	s
0.033	4.778	2.25	3.181	2.25	2.458	4.292	2.669	6.442	d	s
0.066	4.778	2.25	3.181	2.25	2.472	4.292	2.669	6.442	d	s
0.099	4.778	2.25	3.181	2.25	2.472	4.292	2.669	6.442	d	s
0.132	4.778	2.25	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.165	4.792	2.25	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.198	4.806	2.25	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.231	4.806	2.25	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.264	4.806	2.271	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.297	4.806	2.271	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.33	4.806	2.271	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.363	4.806	2.271	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.396	4.806	2.271	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.429	4.806	2.271	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.462	4.806	2.271	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.495	4.806	2.292	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.528	4.806	2.292	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.561	4.806	2.292	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.594	4.806	2.292	3.194	2.25	2.472	4.292	2.669	6.462	d	s
0.627	4.806	2.292	3.194	2.25	2.472	4.292	2.683	6.462	d	s
0.66	4.806	2.292	3.194	2.25	2.472	4.292	2.683	6.462	d	s
0.693	4.806	2.292	3.194	2.25	2.472	4.292	2.683	6.462	d	s
0.726	4.806	2.292	3.194	2.25	2.472	4.292	2.683	6.462	d	s
0.759	4.806	2.292	3.194	2.25	2.472	4.292	2.683	6.462	d	s
0.792	4.806	2.292	3.194	2.25	2.472	4.292	2.683	6.462	d	s
0.825	4.806	2.292	3.194	2.25	2.472	4.292	2.683	6.462	d	s
0.858	4.806	2.271	3.194	2.25	2.472	4.292	2.683	6.462	d	s
0.891	4.806	2.25	3.194	2.229	2.472	4.292	2.683	6.462	d	s
0.924	4.792	2.208	3.194	2.229	2.472	4.292	2.683	6.462	d	s
0.957	4.792	2.167	3.194	2.208	2.458	4.271	2.683	6.462	d	s
0.99	4.806	2.208	3.194	2.229	2.458	4.271	2.669	6.462	d	s
1.023	4.833	2.438	3.194	2.292	2.444	4.271	2.669	6.462	d	s
1.056	4.861	2.792	3.236	2.417	2.444	4.271	2.669	6.462	d	s
1.089	4.875	3.146	3.25	2.583	2.444	4.292	2.669	6.462	d	s
1.122	4.903	3.417	3.264	2.667	2.444	4.312	2.669	6.462	d	s
1.155	4.931	3.667	3.264	2.708	2.444	4.333	2.656	6.462	d	s
1.188	4.917	3.792	3.292	2.854	2.444	4.333	2.656	6.462	d	s
1.221	4.931	3.917	3.319	2.917	2.444	4.354	2.656	6.462	d	s
1.254	4.917	4.021	3.292	2.958	2.444	4.354	2.656	6.462	d	s
1.287	4.903	4.062	3.292	2.979	2.417	4.354	2.642	6.462	d	s
1.32	4.889	4.083	3.278	2.958	2.403	4.354	2.642	6.462	d	s
1.353	4.875	4	3.264	2.896	2.389	4.333	2.642	6.462	d	s
1.386	4.875	3.792	3.25	2.708	2.375	4.312	2.628	6.462	d	s
1.419	4.847	3.312	3.194	2.438	2.375	4.292	2.628	6.462	d	s
1.452	4.861	2.438	3.139	2.25	2.375	4.292	2.628	6.462	d	s
1.485	4.889	1.583	3.181	2.146	2.417	4.229	2.628	6.421	d	s
1.518	4.861	2.188	3.347	2.271	2.458	4.208	2.628	6.421	d	s
1.551	4.722	3.375	3.375	2.458	2.486	4.208	2.628	6.379	d	s
1.584	4.653	3.729	3.361	2.583	2.514	4.188	2.628	6.338	d	s
1.617	4.722	3.583	3.375	2.583	2.542	4.167	2.628	6.296	d	s
1.65	4.792	3.417	3.375	2.542	2.542	4.167	2.628	6.296	d	s
1.683	4.75	3.396	3.375	2.5	2.528	4.167	2.614	6.296	d	s
1.716	4.694	3.479	3.361	2.5	2.514	4.167	2.6	6.296	d	s
1.749	4.736	3.562	3.347	2.542	2.5	4.188	2.6	6.296	d	s
1.782	4.764	3.583	3.347	2.562	2.5	4.188	2.586	6.296	d	s
1.815	4.778	3.542	3.361	2.562	2.5	4.188	2.586	6.296	d	s
1.848	4.778	3.5	3.361	2.542	2.5	4.188	2.586	6.296	d	s
1.881	4.764	3.542	3.361	2.542	2.5	4.188	2.586	6.296	d	s
1.914	4.764	3.542	3.347	2.542	2.5	4.188	2.586	6.296	d	s
1.947	4.778	3.521	3.347	2.542	2.5	4.188	2.586	6.296	d	s
1.98	4.778	3.521	3.347	2.542	2.5	4.188	2.586	6.317	d	s
2.013	4.792	3.521	3.347	2.521	2.5	4.188	2.586	6.317	d	s
2.046	4.792	3.521	3.347	2.5	2.486	4.188	2.586	6.317	d	s
2.079	4.792	3.521	3.347	2.5	2.486	4.188	2.572	6.338	d	s
2.112	4.792	3.5	3.347	2.5	2.486	4.188	2.572	6.338	d	s
2.145	4.792	3.5	3.347	2.5	2.486	4.188	2.572	6.338	d	s
2.178	4.764	3.5	3.347	2.5	2.486	4.188	2.572	6.338	d	s
2.211	4.778	3.479	3.333	2.5	2.486	4.188	2.572	6.338	d	s
2.244	4.778	3.458	3.333	2.5	2.486	4.188	2.572	6.338	d	s
2.277	4.778	3.458	3.333	2.521	2.486	4.188	2.572	6.338	d	s
2.31	4.792	3.458	3.333	2.542	2.486	4.208	2.572	6.338	d	s
2.343	4.764	3.5	3.333	2.583	2.486	4.208	2.586	6.358	d	s
2.376	4.736	3.562	3.319	2.646	2.486	4.208	2.586	6.358	d	s
2.409	4.722	3.604	3.319	2.688	2.486	4.208	2.586	6.358	d	s
2.442	4.708	3.688	3.319	2.729	2.486	4.208	2.586	6.358	d	s
2.475	4.681	3.771	3.319	2.771	2.486	4.208	2.6	6.358	d	s
2.508	4.667	3.875	3.319	2.812	2.486	4.208	2.6	6.358	d	s
2.541	4.639	3.958	3.319	2.875	2.486	4.208	2.614	6.358	d	s
2.574	4.639	4.125	3.319	2.938	2.486	4.208	2.614	6.358	d	s
2.607	4.639	4.312	3.319	3.021	2.486	4.208	2.614	6.358	d	s
2.64	4.625	4.5	3.319	3.125	2.486	4.208	2.642	6.358	d	s
2.673	4.625	4.729	3.319	3.25	2.486	4.208	2.642	6.358	d	s
2.706	4.625	4.958	3.347	3.354	2.486	4.208	2.642	6.358	d	s
2.739	4.639	5.229	3.361	3.479	2.5	4.208	2.656	6.358	d	s
2.772	4.639	5.521	3.375	3.542	2.5	4.208	2.656	6.358	d	s
2.805	4.639	5.771	3.389	3.604	2.5	4.208	2.656	6.379	d	s
2.838	4.667	5.917	3.403	3.667	2.514	4.229	2.669	6.4	d	s
2.871	4.681	5.958	3.444	3.625	2.514	4.229	2.683	6.421	d	s
2.904	4.722	5.896	3.472	3.604	2.514	4.229	2.683	6.421	d	s
2.937	4.792	5.708	3.486	3.521	2.514	4.229	2.697	6.442	d	s
2.97	4.875	5.479	3.5	3.458	2.514	4.229	2.697	6.442	d	s
3.003	4.944	5.167	3.514	3.354	2.514	4.25	2.711	6.442	d	s
3.036	5	4.833	3.514	3.271	2.514	4.25	2.711	6.442	d	s
3.069	5	4.812	3.514	3.229	2.514	4.25	2.711	6.442	d	s
3.102	5.028	4.5	3.514	3.167	2.514	4.25	2.725	6.462	d	s
3.135	5.056	4.25	3.514	3.062	2.514	4.25	2.725	6.462	d	s
3.168	5.056	4.062	3.5	2.958	2.514	4.25	2.725	6.462	d	s
3.201	5.042	3.833	3.486	2.854	2.514	4.25	2.739	6.462	d	s
3.234	5.056	3.625	3.458	2.75	2.514	4.25	2.739	6.462	d	s
3.267	5.042	3.438	3.417	2.667	2.528	4.25	2.739	6.462	d	s
3.3	5.014	3.25	3.389	2.583	2.528	4.25	2.753	6.442	d	s
3.333	5	3.062	3.361	2.479	2.542	4.271	2.753	6.442	d	s
3.366	4.986	2.938	3.389	2.5	2.542	4.271	2.753	6.442	d	s
3.399	4.958	2.792	3.361	2.438	2.556	4.271	2.753	6.442	d	s
3.432	4.944	2.625	3.333	2.375	2.556	4.271	2.753	6.442	d	s
3.465	4.931	2.521	3.319	2.271	2.556	4.271	2.753	6.442	d	s
3.498	4.917	2.417	3.306	2.229	2.569	4.25	2.753	6.442	d	s
3.531	4.903	2.333	3.306	2.188	2.569	4.25	2.753	6.442	d	s
3.564	4.875	2.271	3.306	2.167	2.569	4.25	2.753	6.442	d	s
3.597	4.861	2.229	3.306	2.125	2.569	4.25	2.753	6.442	d	s
3.63	4.861	2.208	3.306	2.125	2.569	4.25	2.753	6.442	d	s
3.663	4.847	2.167	3.292	2.083	2.569	4.25	2.753	6.442	d	s
3.696	4.847	2.125	3.278	2.083	2.556	4.271	2.753	6.442	d	s
3.729	4.847	2.104	3.25	2.083	2.556	4.271	2.739	6.442	d	s
3.762	4.833	2.104	3.25	2.083	2.556	4.271	2.739	6.442	d	s
3.795	4.833	2.083	3.25	2.083	2.556	4.271	2.739	6.442	d	s
3.828	4.819	2.083	3.25	2.083	2.556	4.271	2.739	6.442	d	s
