Mallet Head			Hand		Elbow		Shoulder		Pitch	Vis
t	x	y	x	y	x	y	x	y		
0	5.486	2.333	4.139	2.833	3.667	4.979	4.142	6.921	e	l
0.033	5.486	2.333	4.139	2.833	3.653	4.958	4.142	6.962	e	l
0.066	5.486	2.333	4.139	2.833	3.653	4.958	4.142	6.942	e	l
0.099	5.486	2.312	4.139	2.833	3.653	4.958	4.142	6.942	e	l
0.132	5.486	2.312	4.139	2.833	3.653	4.958	4.142	6.942	e	l
0.165	5.486	2.312	4.125	2.833	3.653	4.958	4.142	6.942	e	l
0.198	5.486	2.312	4.125	2.833	3.639	4.938	4.142	6.942	e	l
0.231	5.486	2.312	4.125	2.833	3.639	4.938	4.142	6.942	e	l
0.264	5.486	2.312	4.125	2.854	3.625	4.917	4.142	6.942	e	l
0.297	5.486	2.312	4.125	2.875	3.625	4.917	4.142	6.942	e	l
0.33	5.486	2.312	4.111	2.917	3.625	4.917	4.142	6.942	e	l
0.363	5.486	2.292	4.111	2.979	3.625	4.917	4.142	6.942	e	l
0.396	5.542	2.521	4.111	3.062	3.625	4.917	4.142	6.942	e	l
0.429	5.569	2.708	4.125	3.125	3.625	4.917	4.142	6.942	e	l
0.462	5.583	2.917	4.125	3.208	3.625	4.938	4.1	6.942	e	l
0.495	5.597	3.104	4.125	3.312	3.625	4.938	4.1	6.942	e	l
0.528	5.597	3.333	4.125	3.396	3.625	4.958	4.1	6.942	e	l
0.561	5.597	3.583	4.125	3.5	3.625	4.958	4.1	6.942	e	l
0.594	5.583	3.833	4.139	3.562	3.625	4.958	4.11	6.942	e	l
0.627	5.556	4.083	4.139	3.646	3.625	4.958	4.12	6.921	e	l
0.66	5.528	4.292	4.139	3.688	3.625	4.979	4.128	6.921	e	l
0.693	5.5	4.458	4.139	3.771	3.625	5	4.128	6.921	e	l
0.726	5.486	4.667	4.139	3.833	3.625	5	4.128	6.921	e	l
0.759	5.472	4.792	4.139	3.875	3.625	5	4.142	6.9	e	l
0.792	5.458	4.938	4.125	3.917	3.625	5.021	4.128	6.921	e	l
0.825	5.431	5.062	4.111	3.958	3.625	5.021	4.114	6.942	e	l
0.858	5.417	5.167	4.097	3.979	3.611	5.042	4.114	6.942	e	l
0.891	5.403	5.25	4.083	3.979	3.611	5.042	4.114	6.942	e	l
0.924	5.403	5.292	4.069	3.979	3.611	5.042	4.114	6.921	e	l
0.957	5.389	5.333	4.069	3.958	3.597	5.062	4.114	6.921	e	l
0.99	5.389	5.333	4.056	3.917	3.597	5.062	4.114	6.921	e	l
1.023	5.403	5.292	4.042	3.854	3.583	5.062	4.114	6.942	e	l
1.056	5.417	5.229	4.042	3.792	3.569	5.062	4.114	6.942	e	l
1.089	5.444	5.104	4.042	3.646	3.556	5.062	4.1	6.942	e	l
1.122	5.472	4.938	4.028	3.5	3.542	5.062	4.1	6.942	e	l
1.155	5.514	4.667	4	3.292	3.528	5.062	4.086	6.962	e	l
1.188	5.569	4.312	3.958	3.104	3.486	5.062	4.072	6.983	e	l
1.221	5.653	3.812	3.917	3	3.444	5.062	4.072	7.004	e	l
1.254	5.722	3.021	3.917	2.833	3.417	5.062	4.044	7.025	e	l
1.287	5.792	2.167	3.917	2.875	3.403	5.062	4.058	7.025	e	l
1.32	5.75	1.729	3.931	2.958	3.389	5.062	4.044	7.025	e	l
1.353	5.792	1.938	3.917	3.042	3.361	5.062	4.031	7.025	e	l
1.386	5.819	2.188	3.917	3.167	3.361	5.042	4.031	7.025	e	l
1.419	5.847	2.521	3.917	3.271	3.375	5.021	4.017	7.025	e	l
1.452	5.889	2.854	3.903	3.396	3.389	5.021	4.003	7.025	e	l
1.485	5.903	3.146	3.889	3.542	3.403	5	3.989	7.025	e	l
1.518	5.889	3.458	3.889	3.625	3.417	4.979	3.975	7.004	e	l
1.551	5.875	3.729	3.931	3.688	3.431	4.958	3.961	6.983	e	l
1.584	5.861	4.021	3.931	3.75	3.444	4.938	3.961	6.983	e	l
1.617	5.833	4.271	4.028	3.729	3.458	4.917	3.961	6.962	e	l
1.65	5.806	4.521	4.056	3.812	3.472	4.896	3.961	6.942	e	l
1.683	5.75	4.792	4.083	3.896	3.486	4.896	3.961	6.921	e	l
1.716	5.708	5	4.056	3.979	3.486	4.875	3.961	6.921	e	l
1.749	5.667	5.229	4.056	4.042	3.5	4.875	3.961	6.9	e	l
1.782	5.569	5.417	4.042	4.125	3.5	4.854	3.961	6.9	e	l
1.815	5.5	5.667	4.042	4.208	3.5	4.833	3.961	6.879	e	l
1.848	5.417	5.875	4.028	4.271	3.5	4.833	3.961	6.858	e	l
1.881	5.347	6.062	4	4.312	3.5	4.833	3.947	6.858	e	l
1.914	5.264	6.229	3.944	4.375	3.5	4.833	3.947	6.858	e	l
1.947	5.153	6.354	3.917	4.417	3.5	4.833	3.947	6.858	e	l
1.98	5.083	6.521	3.889	4.458	3.514	4.812	3.947	6.858	e	l
2.013	5	6.646	3.861	4.521	3.528	4.812	3.947	6.858	e	l
2.046	4.931	6.729	3.819	4.542	3.528	4.812	3.947	6.858	e	l
2.079	4.819	6.812	3.792	4.562	3.528	4.812	3.933	6.858	e	l
2.112	4.75	6.875	3.764	4.542	3.486	4.792	3.933	6.858	e	l
2.145	4.681	6.896	3.764	4.521	3.486	4.771	3.933	6.858	e	l
2.178	4.611	6.896	3.736	4.5	3.486	4.771	3.933	6.858	e	l
2.211	4.569	6.875	3.722	4.479	3.486	4.771	3.919	6.879	e	l
2.244	4.514	6.854	3.708	4.458	3.472	4.771	3.906	6.9	e	l
2.277	4.444	6.812	3.681	4.417	3.458	4.75	3.906	6.9	e	l
2.31	4.403	6.75	3.667	4.375	3.458	4.729	3.906	6.921	e	l
2.343	4.347	6.708	3.625	4.333	3.458	4.729	3.892	6.942	e	l
2.376	4.292	6.604	3.611	4.271	3.458	4.729	3.878	6.942	e	l
2.409	4.222	6.5	3.611	4.208	3.458	4.729	3.864	6.942	e	l
2.442	4.194	6.417	3.583	4.125	3.458	4.729	3.864	6.942	e	l
2.475	4.153	6.292	3.569	4.062	3.458	4.708	3.864	6.942	e	l
2.508	4.097	6.146	3.556	3.979	3.458	4.708	3.864	6.962	e	l
2.541	4.042	5.979	3.542	3.896	3.458	4.708	3.864	6.983	e	l
2.574	4	5.771	3.542	3.833	3.444	4.688	3.85	6.983	e	l
2.607	3.944	5.604	3.542	3.708	3.444	4.688	3.85	6.983	e	l
2.64	3.889	5.375	3.528	3.604	3.431	4.667	3.836	7.004	e	l
2.673	3.847	5.146	3.528	3.521	3.431	4.667	3.836	7.004	e	l
2.706	3.833	4.875	3.528	3.438	3.431	4.667	3.836	7.004	e	l
2.739	3.806	4.667	3.542	3.354	3.431	4.646	3.836	7.004	e	l
2.772	3.792	4.458	3.556	3.312	3.431	4.625	3.836	7.004	e	l
2.805	3.792	4.229	3.569	3.25	3.431	4.604	3.822	7.004	e	l
2.838	3.806	4.083	3.597	3.167	3.431	4.604	3.822	7.004	e	l
2.871	3.833	3.917	3.611	3.125	3.431	4.583	3.822	7.004	e	l
2.904	3.875	3.792	3.583	3.104	3.444	4.562	3.808	6.983	e	l
2.937	3.903	3.667	3.625	3.062	3.444	4.562	3.808	6.983	e	l
2.97	3.958	3.583	3.639	3	3.444	4.562	3.808	6.983	e	l
3.003	4	3.479	3.639	3.021	3.444	4.562	3.808	6.983	e	l
3.036	4.056	3.438	3.667	3	3.458	4.542	3.808	6.962	e	l
3.069	4.056	3.438	3.694	2.979	3.458	4.542	3.808	6.983	e	l
3.102	4.139	3.375	3.694	2.979	3.458	4.542	3.808	6.983	e	l
3.135	4.194	3.333	3.708	2.958	3.458	4.542	3.808	6.983	e	l
3.168	4.25	3.292	3.722	2.958	3.458	4.542	3.808	6.983	e	l
3.201	4.319	3.25	3.722	2.958	3.472	4.542	3.808	6.983	e	l
3.234	4.361	3.229	3.75	2.958	3.472	4.542	3.808	6.962	e	l
3.267	4.417	3.229	3.75	2.958	3.472	4.542	3.808	6.983	e	l
3.3	4.458	3.229	3.764	2.938	3.472	4.542	3.808	6.983	e	l
3.333	4.5	3.208	3.764	2.938	3.472	4.542	3.808	6.983	e	l
3.366	4.528	3.208	3.778	2.938	3.472	4.542	3.808	6.983	e	l
3.399	4.569	3.188	3.792	2.938	3.472	4.542	3.808	7.004	e	l
3.432	4.611	3.167	3.806	2.938	3.472	4.542	3.808	7.004	e	l
3.465	4.625	3.167	3.819	2.938	3.472	4.542	3.808	7.004	e	l
3.498	4.653	3.146	3.833	2.917	3.472	4.542	3.808	7.004	e	l
3.531	4.681	3.125	3.833	2.917	3.472	4.542	3.808	7.004	e	l
3.564	4.694	3.125	3.847	2.917	3.472	4.542	3.808	7.004	e	l
3.597	4.722	3.104	3.847	2.917	3.472	4.542	3.808	7.004	e	l
