Mallet Head			Hand		Elbow		Shoulder		Pitch	Vis
t	x	y	x	y	x	y	x	y		
0	5.597	2.479	3.958	2.583	3.389	4.75	3.642	7.067	e	n
0.033	5.611	2.479	3.958	2.583	3.389	4.75	3.642	7.067	e	n
0.066	5.611	2.479	3.958	2.583	3.389	4.75	3.642	7.067	e	n
0.099	5.611	2.479	3.958	2.583	3.389	4.75	3.642	7.067	e	n
0.132	5.625	2.479	3.958	2.583	3.389	4.75	3.642	7.067	e	n
0.165	5.625	2.479	3.972	2.583	3.389	4.75	3.642	7.067	e	n
0.198	5.625	2.479	3.972	2.583	3.389	4.75	3.642	7.067	e	n
0.231	5.625	2.479	3.972	2.583	3.389	4.75	3.642	7.067	e	n
0.264	5.611	2.479	3.972	2.583	3.389	4.75	3.642	7.067	e	n
0.297	5.611	2.479	3.972	2.583	3.389	4.75	3.642	7.067	e	n
0.33	5.611	2.479	3.972	2.583	3.389	4.75	3.642	7.067	e	n
0.363	5.611	2.5	3.972	2.604	3.389	4.75	3.642	7.067	e	n
0.396	5.611	2.5	3.972	2.604	3.403	4.75	3.642	7.067	e	n
0.429	5.611	2.479	3.972	2.604	3.403	4.75	3.642	7.067	e	n
0.462	5.611	2.479	3.972	2.604	3.403	4.75	3.642	7.067	e	n
0.495	5.611	2.479	3.972	2.604	3.403	4.75	3.642	7.067	e	n
0.528	5.611	2.479	3.972	2.604	3.403	4.75	3.642	7.067	e	n
0.561	5.611	2.5	3.972	2.604	3.403	4.75	3.642	7.067	e	n
0.594	5.611	2.5	3.972	2.604	3.403	4.75	3.642	7.067	e	n
0.627	5.611	2.5	3.972	2.604	3.403	4.75	3.642	7.067	e	n
0.66	5.611	2.5	3.972	2.604	3.403	4.75	3.642	7.067	e	n
0.693	5.611	2.479	3.972	2.604	3.403	4.75	3.642	7.067	e	n
0.726	5.611	2.479	3.972	2.604	3.403	4.75	3.642	7.067	e	n
0.759	5.611	2.479	3.972	2.604	3.403	4.75	3.642	7.067	e	n
0.792	5.611	2.479	3.972	2.604	3.403	4.75	3.642	7.067	e	n
0.825	5.625	2.458	3.972	2.583	3.403	4.75	3.642	7.067	e	n
0.858	5.625	2.417	3.972	2.583	3.389	4.75	3.642	7.067	e	n
0.891	5.625	2.312	3.972	2.583	3.389	4.75	3.642	7.067	e	n
0.924	5.625	2.208	3.958	2.583	3.375	4.75	3.642	7.067	e	n
0.957	5.625	2.125	3.944	2.604	3.375	4.75	3.642	7.067	e	n
0.99	5.611	2.125	3.931	2.646	3.361	4.771	3.642	7.067	e	n
1.023	5.597	2.208	3.931	2.688	3.361	4.771	3.642	7.067	e	n
1.056	5.597	2.354	3.917	2.75	3.361	4.792	3.642	7.067	e	n
1.089	5.583	2.521	3.917	2.812	3.347	4.812	3.642	7.067	e	n
1.122	5.597	2.75	3.917	2.896	3.347	4.812	3.642	7.046	e	n
1.155	5.597	2.979	3.917	3	3.347	4.812	3.642	7.046	e	n
1.188	5.583	3.271	3.917	3.104	3.347	4.833	3.642	7.046	e	n
1.221	5.556	3.562	3.917	3.229	3.347	4.833	3.642	7.025	e	n
1.254	5.514	3.875	3.903	3.312	3.347	4.833	3.642	7.025	e	n
1.287	5.444	4.188	3.889	3.438	3.347	4.833	3.642	7.025	e	n
1.32	5.389	4.479	3.889	3.542	3.361	4.833	3.642	7.025	e	n
1.353	5.347	4.771	3.889	3.625	3.361	4.854	3.642	7.025	e	n
1.386	5.292	5.042	3.889	3.729	3.361	4.854	3.642	7.025	e	n
1.419	5.222	5.312	3.903	3.812	3.361	4.854	3.642	7.025	e	n
