Mallet Head			Hand		Elbow		Shoulder		Pitch	Vis
t	x	y	x	y	x	y	x	y		
0	5.611	2.771	4.403	2.833	4.125	4.875	4.419	7.088	e	s
0.033	5.611	2.771	4.403	2.833	4.125	4.875	4.419	7.088	e	s
0.066	5.625	2.75	4.403	2.833	4.125	4.917	4.419	7.088	e	s
0.099	5.625	2.75	4.403	2.833	4.125	4.917	4.419	7.088	e	s
0.132	5.639	2.729	4.403	2.833	4.125	4.917	4.419	7.088	e	s
0.165	5.653	2.708	4.403	2.833	4.111	4.917	4.406	7.108	e	s
0.198	5.667	2.708	4.417	2.833	4.111	4.917	4.406	7.108	e	s
0.231	5.681	2.708	4.417	2.833	4.111	4.917	4.406	7.129	e	s
0.264	5.681	2.708	4.417	2.833	4.111	4.917	4.406	7.129	e	s
0.297	5.694	2.688	4.417	2.812	4.111	4.938	4.406	7.129	e	s
0.33	5.694	2.688	4.417	2.812	4.097	4.938	4.406	7.129	e	s
0.363	5.694	2.688	4.417	2.812	4.097	4.938	4.406	7.129	e	s
0.396	5.694	2.667	4.403	2.812	4.097	4.938	4.406	7.129	e	s
0.429	5.694	2.667	4.403	2.812	4.083	4.938	4.406	7.129	e	s
0.462	5.694	2.667	4.389	2.812	4.083	4.938	4.406	7.129	e	s
0.495	5.681	2.646	4.389	2.812	4.083	4.938	4.392	7.15	e	s
0.528	5.667	2.646	4.375	2.812	4.083	4.938	4.392	7.15	e	s
0.561	5.653	2.625	4.375	2.812	4.069	4.938	4.392	7.15	e	s
0.594	5.653	2.625	4.375	2.792	4.069	4.938	4.392	7.15	e	s
0.627	5.639	2.583	4.375	2.771	4.069	4.938	4.392	7.15	e	s
0.66	5.639	2.562	4.375	2.771	4.069	4.917	4.392	7.15	e	s
0.693	5.625	2.521	4.375	2.75	4.069	4.917	4.392	7.15	e	s
0.726	5.625	2.667	4.375	2.792	4.069	4.896	4.392	7.15	e	s
0.759	5.583	2.958	4.375	2.854	4.083	4.875	4.392	7.129	e	s
0.792	5.583	3.292	4.375	2.917	4.083	4.896	4.406	7.129	e	s
0.825	5.556	3.542	4.403	3	4.083	4.896	4.406	7.108	e	s
0.858	5.556	3.688	4.403	3.042	4.097	4.896	4.406	7.108	e	s
0.891	5.556	3.75	4.403	3.104	4.083	4.917	4.406	7.108	e	s
0.924	5.556	3.792	4.403	3.146	4.083	4.938	4.406	7.108	e	s
0.957	5.556	3.854	4.403	3.188	4.069	4.958	4.406	7.108	e	s
0.99	5.556	3.875	4.389	3.208	4.069	4.958	4.406	7.108	e	s
1.023	5.556	3.917	4.375	3.229	4.069	4.958	4.406	7.108	e	s
1.056	5.556	3.979	4.375	3.25	4.056	4.979	4.406	7.108	e	s
1.089	5.556	4	4.361	3.271	4.056	5	4.406	7.108	e	s
1.122	5.556	4.042	4.361	3.292	4.056	5	4.406	7.108	e	s
1.155	5.556	4.104	4.347	3.312	4.056	5.021	4.406	7.108	e	s
1.188	5.556	4.125	4.347	3.333	4.042	5.021	4.406	7.108	e	s
1.221	5.556	4.125	4.333	3.333	4.042	5.042	4.406	7.108	e	s
1.254	5.569	4.062	4.333	3.312	4.042	5.042	4.406	7.108	e	s
1.287	5.583	3.958	4.333	3.229	4.042	5.042	4.419	7.129	e	s
1.32	5.597	3.729	4.333	3.125	4.056	5.021	4.433	7.15	e	s
1.353	5.611	3.271	4.347	2.979	4.056	4.979	4.419	7.15	e	s
1.386	5.611	2.271	4.444	2.708	4.069	4.938	4.419	7.15	e	s
1.419	5.556	1.729	4.417	2.646	4.097	4.917	4.419	7.108	e	s
1.452	5.542	2.583	4.569	3	4.153	4.917	4.433	7.088	e	s
1.485	5.403	3.667	4.556	3.062	4.25	4.896	4.447	7.025	e	s
1.518	5.222	3.792	4.583	3.062	4.319	4.875	4.461	6.983	e	s
1.551	5.222	3.333	4.611	3.042	4.347	4.854	4.475	6.962	e	s
1.584	5.181	3.104	4.611	2.938	4.347	4.812	4.475	6.962	e	s
1.617	5.111	3.229	4.583	2.875	4.333	4.812	4.475	6.962	e	s
1.65	5.097	3.25	4.556	2.896	4.333	4.812	4.489	6.942	e	s
1.683	5.111	3.229	4.514	2.896	4.333	4.833	4.489	6.942	e	s
1.716	5.139	3.271	4.528	2.938	4.333	4.833	4.489	6.942	e	s
1.749	5.153	3.354	4.528	2.938	4.333	4.833	4.503	6.962	e	s
1.782	5.167	3.417	4.514	2.958	4.333	4.854	4.503	6.962	e	s
1.815	5.181	3.375	4.5	2.958	4.333	4.854	4.531	6.962	e	s
1.848	5.153	3.333	4.472	2.958	4.333	4.854	4.517	6.962	e	s
1.881	5.139	3.354	4.458	2.979	4.333	4.854	4.531	6.962	e	s
1.914	5.139	3.396	4.458	2.979	4.347	4.875	4.531	6.962	e	s
1.947	5.139	3.458	4.458	3	4.347	4.896	4.531	6.962	e	s
1.98	5.139	3.479	4.458	3.021	4.347	4.896	4.544	6.983	e	s
2.013	5.153	3.479	4.458	3.042	4.333	4.917	4.544	6.983	e	s
2.046	5.181	3.438	4.444	3.042	4.333	4.917	4.544	6.983	e	s
2.079	5.194	3.417	4.444	3.021	4.333	4.917	4.544	7.004	e	s
2.112	5.194	3.417	4.444	3.042	4.319	4.917	4.544	7.004	e	s
2.145	5.194	3.417	4.431	3.042	4.319	4.917	4.544	7.004	e	s
2.178	5.208	3.438	4.431	3.042	4.306	4.917	4.544	7.004	e	s
2.211	5.208	3.417	4.431	3.042	4.306	4.917	4.544	7.025	e	s
2.244	5.222	3.396	4.417	3.021	4.306	4.917	4.544	7.025	e	s
2.277	5.222	3.396	4.417	3.021	4.292	4.917	4.544	7.067	e	s
2.31	5.236	3.375	4.417	3.021	4.292	4.917	4.544	7.067	e	s
2.343	5.25	3.354	4.417	3.021	4.292	4.917	4.544	7.067	e	s
2.376	5.236	3.333	4.431	3	4.278	4.917	4.544	7.067	e	s
2.409	5.236	3.312	4.431	3	4.278	4.917	4.544	7.067	e	s
2.442	5.25	3.25	4.417	2.979	4.264	4.917	4.531	7.067	e	s
2.475	5.278	3.208	4.417	2.979	4.264	4.896	4.531	7.067	e	s
2.508	5.292	3.167	4.417	3	4.264	4.896	4.531	7.067	e	s
2.541	5.306	3.125	4.431	2.958	4.25	4.896	4.531	7.067	e	s
2.574	5.333	3.083	4.444	2.938	4.25	4.896	4.517	7.067	e	s
2.607	5.347	3.062	4.444	2.938	4.25	4.896	4.517	7.067	e	s
2.64	5.375	3.042	4.444	2.917	4.25	4.896	4.517	7.067	e	s
2.673	5.389	3.021	4.444	2.917	4.25	4.875	4.517	7.067	e	s
2.706	5.389	2.979	4.444	2.896	4.25	4.875	4.517	7.067	e	s
2.739	5.417	2.938	4.444	2.875	4.25	4.875	4.517	7.067	e	s
2.772	5.431	2.938	4.444	2.875	4.25	4.875	4.517	7.067	e	s
2.805	5.444	2.917	4.444	2.875	4.25	4.875	4.517	7.067	e	s
2.838	5.458	2.917	4.458	2.875	4.25	4.875	4.517	7.067	e	s
2.871	5.472	2.917	4.458	2.875	4.25	4.875	4.517	7.067	e	s
2.904	5.486	2.917	4.472	2.854	4.25	4.875	4.517	7.067	e	s
2.937	5.5	2.917	4.472	2.854	4.25	4.875	4.517	7.067	e	s
2.97	5.514	2.896	4.472	2.854	4.264	4.875	4.517	7.067	e	s
3.003	5.542	2.875	4.486	2.833	4.264	4.875	4.517	7.067	e	s
3.036	5.542	2.854	4.486	2.833	4.264	4.875	4.531	7.088	e	s
3.069	5.542	2.854	4.486	2.833	4.264	4.875	4.531	7.088	e	s
3.102	5.556	2.833	4.486	2.833	4.264	4.875	4.531	7.088	e	s
3.135	5.556	2.833	4.486	2.833	4.264	4.875	4.531	7.088	e	s
3.168	5.556	2.833	4.486	2.833	4.264	4.875	4.531	7.088	e	s
3.201	5.569	2.792	4.486	2.833	4.264	4.875	4.531	7.088	e	s
3.234	5.569	2.792	4.5	2.812	4.264	4.875	4.531	7.088	e	s
3.267	5.583	2.75	4.5	2.812	4.264	4.875	4.544	7.108	e	s
3.3	5.583	2.75	4.5	2.812	4.25	4.875	4.544	7.108	e	s
3.333	5.569	2.729	4.5	2.812	4.25	4.875	4.544	7.108	e	s
3.366	5.569	2.708	4.5	2.812	4.25	4.896	4.544	7.108	e	s
3.399	5.569	2.688	4.514	2.812	4.25	4.896	4.544	7.108	e	s
3.432	5.583	2.688	4.5	2.792	4.25	4.896	4.544	7.108	e	s
3.465	5.583	2.667	4.5	2.792	4.25	4.917	4.544	7.108	e	s
3.498	5.597	2.646	4.5	2.792	4.25	4.917	4.544	7.108	e	s
3.531	5.611	2.646	4.5	2.792	4.25	4.917	4.544	7.108	e	s
3.564	5.611	2.646	4.5	2.792	4.25	4.917	4.544	7.108	e	s
3.597	5.611	2.646	4.5	2.792	4.25	4.917	4.544	7.108	e	s
3.63	5.625	2.625	4.5	2.792	4.25	4.917	4.544	7.108	e	s
