Mallet Head			Hand		Elbow		Shoulder		Pitch	Vis
t	x	y	x	y	x	y	x	y		
0	4.764	2	3.264	2.062	2.861	4.042	3.114	6.608	g	n
0.033	4.764	1.958	3.264	2.042	2.861	4.042	3.114	6.608	g	n
0.066	4.764	1.917	3.264	2.042	2.861	4.042	3.114	6.608	g	n
0.099	4.764	1.917	3.264	2.042	2.861	4.042	3.114	6.608	g	n
0.132	4.764	1.896	3.264	2.042	2.861	4.042	3.114	6.608	g	n
0.165	4.764	1.875	3.264	2.021	2.861	4.042	3.114	6.608	g	n
0.198	4.764	1.854	3.264	2.021	2.861	4.042	3.114	6.608	g	n
0.231	4.764	1.854	3.264	2.021	2.861	4.042	3.114	6.608	g	n
0.264	4.764	1.854	3.278	2.021	2.861	4.042	3.114	6.608	g	n
0.297	4.778	1.833	3.278	2	2.861	4.042	3.114	6.608	g	n
0.33	4.778	1.833	3.278	2	2.861	4.042	3.114	6.608	g	n
0.363	4.778	1.833	3.278	2	2.861	4.042	3.114	6.608	g	n
0.396	4.778	1.833	3.278	2	2.861	4.042	3.1	6.629	g	n
0.429	4.778	1.833	3.278	2	2.847	4.042	3.1	6.629	g	n
0.462	4.778	1.833	3.278	2	2.847	4.042	3.1	6.629	g	n
0.495	4.778	1.833	3.278	2	2.847	4.042	3.1	6.629	g	n
0.528	4.778	1.833	3.264	2	2.847	4.042	3.1	6.629	g	n
0.561	4.778	1.812	3.264	2	2.847	4.042	3.1	6.629	g	n
0.594	4.778	1.812	3.264	2	2.847	4.042	3.1	6.629	g	n
0.627	4.778	1.792	3.264	2	2.847	4.042	3.1	6.629	g	n
0.66	4.778	1.792	3.264	1.979	2.847	4.042	3.1	6.629	g	n
0.693	4.764	1.792	3.264	1.979	2.847	4.042	3.1	6.629	g	n
0.726	4.75	1.792	3.264	1.979	2.847	4.042	3.1	6.629	g	n
0.759	4.75	1.771	3.264	1.979	2.847	4.042	3.1	6.629	g	n
0.792	4.75	1.771	3.264	1.979	2.847	4.042	3.1	6.629	g	n
0.825	4.75	1.771	3.264	1.979	2.847	4.042	3.1	6.629	g	n
0.858	4.75	1.771	3.264	1.979	2.847	4.042	3.1	6.629	g	n
0.891	4.75	1.771	3.264	1.979	2.847	4.042	3.1	6.629	g	n
0.924	4.75	1.771	3.264	1.979	2.847	4.042	3.1	6.629	g	n
0.957	4.764	1.771	3.278	1.979	2.847	4.042	3.1	6.629	g	n
0.99	4.764	1.75	3.278	1.979	2.847	4.042	3.1	6.629	g	n
1.023	4.764	1.75	3.278	1.979	2.847	4.042	3.1	6.629	g	n
1.056	4.75	1.708	3.278	1.979	2.847	4.042	3.1	6.629	g	n
1.089	4.75	1.708	3.278	1.979	2.847	4.042	3.1	6.629	g	n
1.122	4.736	1.792	3.278	2.021	2.847	4.042	3.1	6.629	g	n
1.155	4.722	2	3.278	2.083	2.847	4.042	3.1	6.629	g	n
1.188	4.694	2.333	3.278	2.167	2.861	4.062	3.1	6.588	g	n
1.221	4.653	2.729	3.278	2.292	2.861	4.083	3.1	6.588	g	n
1.254	4.625	3.167	3.292	2.438	2.861	4.083	3.1	6.588	g	n
1.287	4.583	3.562	3.306	2.583	2.847	4.125	3.1	6.588	g	n
1.32	4.542	3.958	3.306	2.688	2.847	4.125	3.1	6.588	g	n
1.353	4.5	4.271	3.306	2.854	2.847	4.146	3.1	6.588	g	n
1.386	4.486	4.479	3.306	2.979	2.833	4.167	3.1	6.588	g	n
1.419	4.486	4.625	3.278	3	2.833	4.188	3.1	6.588	g	n
1.452	4.486	4.667	3.264	3.021	2.819	4.208	3.1	6.588	g	n
1.485	4.5	4.625	3.25	3.021	2.806	4.208	3.1	6.588	g	n
1.518	4.514	4.521	3.222	2.958	2.792	4.208	3.1	6.608	g	n
1.551	4.542	4.271	3.194	2.833	2.778	4.188	3.1	6.608	g	n
1.584	4.597	3.938	3.181	2.646	2.778	4.167	3.1	6.629	g	n
1.617	4.653	3.375	3.153	2.396	2.764	4.125	3.1	6.629	g	n
1.65	4.75	2.521	3.125	2.167	2.778	4.104	3.1	6.629	g	n
1.683	4.736	1.125	3.097	1.979	2.792	4.062	3.1	6.629	g	n
1.716	4.736	1.208	3.083	1.958	2.806	4.042	3.1	6.629	g	n
1.749	4.736	1.458	3.111	2	2.819	4.021	3.1	6.629	g	n
1.782	4.708	1.771	3.139	2.042	2.833	4	3.1	6.608	g	n
